,Portfolio daily PnL,Portfolio equity
2024-09-09 00:00:00,-535.93,111508.07
2024-09-10 00:00:00,-630.22,110877.85
2024-09-11 00:00:00,-696.32,110181.53
2024-09-12 00:00:00,-705.01,109476.51
2024-09-13 00:00:00,-741.13,108735.38
2024-09-16 00:00:00,-815.3,107920.08
2024-09-17 00:00:00,-833.84,107086.24
2024-09-18 00:00:00,-870.67,106215.57
2024-09-19 00:00:00,-788.84,105426.73
2024-09-20 00:00:00,-947.62,104479.12
2024-09-23 00:00:00,252.84,104731.95
2024-09-24 00:00:00,250.62,104982.58
2024-09-25 00:00:00,249.66,105232.24
2024-09-26 00:00:00,6.22,105238.46
2024-09-27 00:00:00,249.38,105487.84
2024-09-30 00:00:00,159.27,105647.11
2024-10-01 00:00:00,97.82,105744.93
2024-10-02 00:00:00,148.0,105892.93
2024-10-03 00:00:00,81.54,105974.47
2024-10-04 00:00:00,229.58,106204.06
2024-10-07 00:00:00,201.17,106405.22
2024-10-08 00:00:00,350.5,106755.72
2024-10-09 00:00:00,423.34,107179.06
2024-10-10 00:00:00,415.8,107594.86
2024-10-11 00:00:00,622.15,108217.01
2024-10-14 00:00:00,579.53,108796.54
2024-10-15 00:00:00,-633.94,108162.6
2024-10-16 00:00:00,-709.7,107452.9
2024-10-17 00:00:00,-637.15,106815.74
2024-10-18 00:00:00,-247.1,106568.64
2024-10-21 00:00:00,-319.82,106248.82
2024-10-22 00:00:00,-324.77,105924.05
2024-10-23 00:00:00,-376.87,105547.17
2024-10-24 00:00:00,-330.08,105217.1
2024-10-25 00:00:00,-347.52,104869.58
2024-10-28 00:00:00,-356.96,104512.61
2024-10-29 00:00:00,-495.23,104017.38
2024-10-30 00:00:00,-390.41,103626.98
2024-10-31 00:00:00,-240.59,103386.39
2024-11-01 00:00:00,-316.39,103069.99
2024-11-04 00:00:00,0.0,103069.99
2024-11-05 00:00:00,0.0,103069.99
2024-11-06 00:00:00,0.0,103069.99
2024-11-07 00:00:00,0.0,103069.99
2024-11-08 00:00:00,0.0,103069.99
2024-11-11 00:00:00,-9.8,103060.2
2024-11-12 00:00:00,1433.2,104493.4
2024-11-13 00:00:00,1433.86,105927.25
2024-11-14 00:00:00,1497.01,107424.26
2024-11-15 00:00:00,1668.29,109092.55
2024-11-18 00:00:00,1629.38,110721.92
2024-11-19 00:00:00,1535.01,112256.93
2024-11-20 00:00:00,65.3,112322.23
2024-11-21 00:00:00,-528.91,111793.31
2024-11-22 00:00:00,-438.31,111355.0
2024-11-25 00:00:00,-444.97,110910.03
2024-11-26 00:00:00,-456.3,110453.72
2024-11-27 00:00:00,-379.13,110074.6
2024-11-29 00:00:00,-393.1,109681.5
2024-12-02 00:00:00,-366.99,109314.51
2024-12-03 00:00:00,-438.85,108875.66
2024-12-04 00:00:00,-417.09,108458.57
2024-12-05 00:00:00,-403.28,108055.29
2024-12-06 00:00:00,-387.26,107668.03
2024-12-09 00:00:00,-473.87,107194.16
2024-12-10 00:00:00,-469.44,106724.72
2024-12-11 00:00:00,-510.34,106214.37
2024-12-12 00:00:00,-558.39,105655.98
2024-12-13 00:00:00,-546.76,105109.22
2024-12-16 00:00:00,-678.99,104430.23
2024-12-17 00:00:00,-648.56,103781.67
2024-12-18 00:00:00,-659.26,103122.41
2024-12-19 00:00:00,-786.76,102335.65
2024-12-20 00:00:00,-721.14,101614.51
2024-12-23 00:00:00,-760.38,100854.12
2024-12-24 00:00:00,-755.81,100098.31
2024-12-26 00:00:00,-757.42,99340.89
2024-12-27 00:00:00,-760.64,98580.25
2024-12-30 00:00:00,-787.5,97792.75
2024-12-31 00:00:00,-786.72,97006.03
TOTAL,-2993.97,97006.03
