Date,GS,JPM,KO,MA,PEP,V
2023-08-23,306.5068664550781,140.5970458984375,56.739986419677734,396.4241943359375,166.769775390625,238.73081970214844
2023-08-24,304.2532653808594,140.4634552001953,56.589351654052734,393.0733642578125,165.88967895507812,235.94252014160156
2023-08-25,304.43389892578125,140.291748046875,56.85295104980469,398.2330627441406,167.98696899414062,238.9968719482422
2023-08-28,309.9682312011719,140.77830505371094,57.012996673583984,402.73040771484375,168.76405334472656,240.23831176757812
2023-08-29,316.2252197265625,141.9231414794922,56.95651626586914,406.8917541503906,169.40074157714844,241.72604370117188
2023-08-30,315.05535888671875,141.3507537841797,56.92827224731445,409.12567138671875,169.54116821289062,242.60293579101562
2023-08-31,314.2212219238281,139.60484313964844,56.32575988769531,407.8703308105469,167.7544403076172,242.06105041503906
2023-09-01,313.9239501953125,140.07232666015625,55.836212158203125,410.7665100097656,165.30299377441406,244.45523071289062
2023-09-05,310.42425537109375,138.5267791748047,55.374908447265625,406.7435302734375,164.20928955078125,241.72604370117188
2023-09-06,307.9120788574219,138.29782104492188,55.337249755859375,408.40411376953125,164.7467041015625,242.53395080566406
2023-09-07,308.7079162597656,137.11480712890625,54.913612365722656,409.8275146484375,166.32130432128906,243.49952697753906
2023-09-08,312.121337890625,137.2197265625,54.913612365722656,410.0448913574219,166.19871520996094,243.64732360839844
2023-09-11,311.28717041015625,137.82078552246094,55.431392669677734,411.8735046386719,168.7067413330078,243.578369140625
2023-09-12,317.2799377441406,139.6143798828125,54.8853645324707,411.4583740234375,168.08444213867188,243.6571807861328
2023-09-13,321.1919860839844,139.68116760253906,55.01716613769531,411.488037109375,169.41387939453125,244.17935180664062
2023-09-14,330.38726806640625,142.39064025878906,55.47263717651367,408.562255859375,170.87533569335938,237.94261169433594
2023-09-15,328.44085693359375,141.97085571289062,54.979209899902344,409.52105712890625,169.5647430419922,237.5189666748047
2023-09-18,329.188720703125,142.26661682128906,55.32081604003906,412.3084716796875,169.13104248046875,241.05606079101562
